Time,Amount,Class
74,1.18,0.0
75,81.13,0.0
76,50.0,0.0
76,86.43,0.0
77,11.83,0.0
77,49.95,0.0
77,9.12,0.0
78,104.94,0.0
78,4.68,0.0
78,62.92,0.0
78,18.31,0.0
79,80.0,0.0
80,32.51,0.0
80,39.95,0.0
81,68.74,0.0
82,79.0,0.0
82,5.9,0.0
83,7.69,0.0
83,79.91,0.0
83,552.18,0.0
84,67.3,0.0
84,21.97,0.0
84,4.99,0.0
85,11.99,0.0
85,124.67,0.0
87,919.6,0.0
88,30.9,0.0
89,459.39,0.0
89,37.13,0.0
91,1.98,0.0
91,15.89,0.0
92,8.95,0.0
92,268.78,0.0
92,2.99,0.0
93,322.44,0.0
93,937.69,0.0
95,69.0,0.0
95,2.28,0.0
95,7.21,0.0
95,1.29,0.0
97,17.8,0.0
98,14.98,0.0
98,159.0,0.0
99,142.71,0.0
99,84.39,0.0
100,182.95,0.0
103,23.27,0.0
103,9.99,0.0
103,4.19,0.0
103,3828.04,0.0
105,35.97,0.0
105,1.0,0.0
106,24.57,0.0
107,1.0,0.0
108,148.43,0.0
108,25.8,0.0
110,110.4,0.0
110,13.95,0.0
111,9.99,0.0
112,937.69,0.0
112,54.99,0.0
113,31.17,0.0
114,23.88,0.0
114,4.49,0.0
115,137.0,0.0
117,37.89,0.0
117,82.29,0.0
118,2.69,0.0
118,20.0,0.0
121,29.99,0.0
123,40.0,0.0
123,160.86,0.0
124,8.93,0.0
124,6.24,0.0
124,230.0,0.0
125,43.71,0.0
125,165.55,0.0
125,113.0,0.0
127,1.54,0.0
128,10.0,0.0
128,8.8,0.0
130,5.97,0.0
130,15.93,0.0
131,10.0,0.0
132,3.87,0.0
132,10.0,0.0
133,35.97,0.0
135,22.37,0.0
135,4.57,0.0
135,23.57,0.0
136,13.99,0.0
137,226.07,0.0
138,148.81,0.0
139,58.0,0.0
140,1.29,0.0
140,65.0,0.0
140,11.0,0.0
140,257.3,0.0
140,169.0,0.0
141,9.9,0.0
142,9.99,0.0
142,4.9,0.0
143,39.95,0.0
144,15.36,0.0
145,9.9,0.0
145,6.0,0.0
145,6.0,0.0
145,6.74,0.0
145,6.74,0.0
147,170.43,0.0
147,0.89,0.0
150,0.89,0.0
152,614.87,0.0
153,22.99,0.0
153,71.26,0.0
154,127.69,0.0
154,1.98,0.0
155,6.45,0.0
155,1.29,0.0
156,184.31,0.0
156,500.0,0.0
156,10.0,0.0
158,1.79,0.0
158,10.0,0.0
160,20.0,0.0
160,700.0,0.0
162,22.0,0.0
164,2.28,0.0
164,65.26,0.0
164,0.99,0.0
167,1.0,0.0
167,44.2,0.0
167,5.42,0.0
168,42.9,0.0
169,355.51,0.0
171,0.89,0.0
171,71.69,0.0
172,2.29,0.0
172,1.29,0.0
179,27.99,0.0
180,23.63,0.0
180,48.0,0.0
181,318.5,0.0
181,6.47,0.0
183,224.97,0.0
183,75.83,0.0
184,1.98,0.0
184,1.98,0.0
185,4.65,0.0
187,23.32,0.0
188,8.09,0.0
190,82.29,0.0
190,99.95,0.0
190,20.0,0.0
190,127.75,0.0
190,20.7,0.0
192,1.79,0.0
193,37.2,0.0
194,1.0,0.0
194,32.77,0.0
194,5.99,0.0
196,0.89,0.0
196,63.9,0.0
199,6.45,0.0
199,61.18,0.0
199,9.99,0.0
200,196.7,0.0
200,79.0,0.0
204,137.3,0.0
204,39.94,0.0
204,1.98,0.0
205,12.99,0.0
206,153.91,0.0
206,101.0,0.0
206,10.27,0.0
209,8.97,0.0
209,1.19,0.0
209,45.0,0.0
209,95.56,0.0
209,13.99,0.0
210,12.99,0.0
211,526.96,0.0
211,70.0,0.0
213,4.38,0.0
215,12.99,0.0
217,24.0,0.0
218,1.0,0.0
218,17.56,0.0
218,12.99,0.0
220,18.96,0.0
220,22.58,0.0
221,99.82,0.0
221,25.36,0.0
222,7.81,0.0
222,18.61,0.0
222,49.99,0.0
222,17.24,0.0
225,34.0,0.0
225,35.11,0.0
227,1.0,0.0
227,29.95,0.0
228,45.3,0.0
230,79.18,0.0
231,26.98,0.0
231,1.98,0.0
234,42.81,0.0
235,25.0,0.0
236,0.99,0.0
236,7.14,0.0
237,9.99,0.0
237,32.51,0.0
238,8.99,0.0
239,10.0,0.0
241,10.62,0.0
241,4.81,0.0
241,12.2,0.0
241,12.31,0.0
242,2.69,0.0
244,100.37,0.0
246,1.5,0.0
246,1.98,0.0
246,2.98,0.0
247,18.94,0.0
248,10.0,0.0
249,13.28,0.0
250,5.96,0.0
251,31.8,0.0
251,120.0,0.0
251,24.0,0.0
252,231.71,0.0
256,13.53,0.0
256,18.45,0.0
257,1.98,0.0
258,13.79,0.0
259,20.17,0.0
259,9.99,0.0
259,55.45,0.0
259,0.99,0.0
260,26.5,0.0
260,99.0,0.0
260,5.46,0.0
261,1.98,0.0
263,49.99,0.0
265,24.84,0.0
265,13.08,0.0
265,9.03,0.0
265,1.0,0.0
266,10.35,0.0
266,14.9,0.0
266,154.4,0.0
267,122.36,0.0
267,2.28,0.0
268,6.54,0.0
269,2.6,0.0
269,6.47,0.0
270,52.95,0.0
271,0.89,0.0
271,5.99,0.0
272,208.38,0.0
273,32.51,0.0
273,6.51,0.0
273,18.0,0.0
274,1.98,0.0
275,70.33,0.0
278,2.69,0.0
279,19.29,0.0
279,8.99,0.0
280,109.15,0.0
282,0.0,0.0
282,27.0,0.0
282,2.0,0.0
282,11.64,0.0
283,94.5,0.0
283,2.31,0.0
284,7.89,0.0
284,1.0,0.0
284,11.99,0.0
284,302.1,0.0
284,30.3,0.0
285,8.99,0.0
287,160.0,0.0
288,380.95,0.0
288,156.98,0.0
288,6.54,0.0
289,74.47,0.0
290,30.5,0.0
290,85.0,0.0
290,67.36,0.0
290,101.0,0.0
292,4.45,0.0
292,23.88,0.0
293,5.0,0.0
294,73.0,0.0
294,33.33,0.0
297,6.86,0.0
297,54.75,0.0
297,6.2,0.0
297,12.31,0.0
298,13.99,0.0
298,36.0,0.0
300,1.91,0.0
302,90.0,0.0
302,9.99,0.0
303,2.95,0.0
303,90.0,0.0
304,1.98,0.0
305,379.63,0.0
307,52.9,0.0
307,9.97,0.0
308,60.0,0.0
309,1.0,0.0
309,14.6,0.0
310,7.8,0.0
310,22.09,0.0
310,222.5,0.0
311,11.5,0.0
311,8.58,0.0
312,140.6,0.0
312,493.44,0.0
312,33.26,0.0
313,15.08,0.0
313,68.0,0.0
315,11.46,0.0
315,69.99,0.0
317,19.99,0.0
317,7.69,0.0
318,10.0,0.0
322,1.79,0.0
322,9.99,0.0
322,29.56,0.0
323,0.77,0.0
323,52.0,0.0
324,0.89,0.0
325,17.24,0.0
327,36.71,0.0
328,2.5,0.0
330,55.76,0.0
330,32.38,0.0
331,0.89,0.0
332,11.34,0.0
333,75.0,0.0
333,216.0,0.0
335,1.03,0.0
335,4.8,0.0
336,7.72,0.0
339,2.0,0.0
339,98.0,0.0
340,47.0,0.0
340,0.99,0.0
341,22.0,0.0
341,62.63,0.0
342,197.63,0.0
343,75.83,0.0
344,456.71,0.0
346,6.0,0.0
346,5.0,0.0
346,10.99,0.0
347,204.03,0.0
348,3.99,0.0
351,12.99,0.0
352,13.99,0.0
352,2.67,0.0
353,12.87,0.0
353,611.76,0.0
354,2.31,0.0
354,11.38,0.0
354,23.88,0.0
355,2.61,0.0
355,19.64,0.0
356,20.48,0.0
356,105.87,0.0
356,15.0,0.0
357,0.75,0.0
358,17.43,0.0
358,41.64,0.0
359,1.29,0.0
360,0.89,0.0
362,79.0,0.0
363,37.92,0.0
365,74.22,0.0
365,0.68,0.0
366,9.99,0.0
366,97.47,0.0
367,1.29,0.0
368,1.98,0.0
368,1.98,0.0
369,1.0,0.0
369,32.63,0.0
369,1.98,0.0
370,4.79,0.0
373,10.29,0.0
373,1.79,0.0
375,29.18,0.0
376,12.89,0.0
376,4.45,0.0
376,11.39,0.0
377,40.83,0.0
378,85.25,0.0
379,881.13,0.0
380,0.0,0.0
380,9.99,0.0
382,45.38,0.0
383,17.99,0.0
383,16.0,0.0
384,510.22,0.0
386,1.0,0.0
386,575.33,0.0
387,10.0,0.0
388,12.99,0.0
388,9.99,0.0
389,8.93,0.0
389,29.95,0.0
391,27.7,0.0
392,82.29,0.0
393,64.04,0.0
394,1.0,0.0
394,1.55,0.0
399,15.19,0.0
402,0.01,0.0
403,0.0,0.0
403,411.88,0.0
403,52.4,0.0
403,15.0,0.0
404,0.99,0.0
405,27.13,0.0
406,1.98,0.0
406,0.0,1.0
406,46.68,0.0
407,146.25,0.0
408,7.3,0.0
409,0.77,0.0
409,72.0,0.0
410,56.09,0.0
410,39.77,0.0
410,0.89,0.0
411,235.7,0.0
411,10.0,0.0
413,40.0,0.0
413,57.5,0.0
413,30.0,0.0
414,29.99,0.0
414,1.0,0.0
415,24.02,0.0
417,8.61,0.0
417,29.99,0.0
417,0.89,0.0
421,10.69,0.0
421,12.41,0.0
421,1.0,0.0
422,60.92,0.0
423,43.34,0.0
423,3.75,0.0
425,3.59,0.0
426,16.19,0.0
426,4.95,0.0
427,11.36,0.0
427,12.98,0.0
427,539.17,0.0
427,246.96,0.0
427,10.0,0.0
430,0.0,0.0
430,2.31,0.0
430,30.0,0.0
432,102.13,0.0
432,22.03,0.0
433,34.27,0.0
433,5.31,0.0
434,25.03,0.0
436,15.8,0.0
438,2.0,0.0
438,8.49,0.0
439,3.67,0.0
439,0.77,0.0
441,9.27,0.0
441,50.0,0.0
442,2.23,0.0
442,77.98,0.0
443,46.77,0.0
444,399.07,0.0
446,17.99,0.0
446,64.0,0.0
448,11.99,0.0
449,10.2,0.0
450,75.65,0.0
452,49.98,0.0
453,92.91,0.0
454,9.65,0.0
455,1.98,0.0
457,121.48,0.0
457,2.72,0.0
458,13.0,0.0
459,2.99,0.0
459,6.99,0.0
460,50.78,0.0
460,13.49,0.0
460,79.0,0.0
460,2.85,0.0
462,13.99,0.0
463,55.0,0.0
463,37.57,0.0
463,1.0,0.0
464,11.99,0.0
464,1.48,0.0
465,7.69,0.0
466,20.0,0.0
471,48.0,0.0
472,0.92,0.0
472,17.57,0.0
472,529.0,1.0
472,59.88,0.0
476,1.0,0.0
477,9.51,0.0
478,1.79,0.0
478,10.0,0.0
478,79.0,0.0
479,1.0,0.0
480,0.75,0.0
480,732.0,0.0
481,1015.61,0.0
481,11.5,0.0
483,20.74,0.0
483,4.42,0.0
484,158.0,0.0
484,49.9,0.0
484,1.0,0.0
484,99.9,0.0
487,7.48,0.0
487,91.76,0.0
487,8.99,0.0
488,64.99,0.0
489,139.75,0.0
490,3.44,0.0
490,254.41,0.0
491,18.45,0.0
491,9.99,0.0
491,10.0,0.0
492,632.4,0.0
493,67.94,0.0
494,54.99,0.0
495,834.84,0.0
496,29.0,0.0
496,16.5,0.0
496,50.99,0.0
497,8.83,0.0
498,5.0,0.0
499,1.98,0.0
499,22.83,0.0
499,92.82,0.0
501,3.0,0.0
502,45.56,0.0
503,268.93,0.0
503,712.82,0.0
504,24.9,0.0
508,2.27,0.0
509,22.77,0.0
509,114.0,0.0
509,6.99,0.0
509,8.28,0.0
510,1.99,0.0
510,35.93,0.0
511,8.93,0.0
511,37.96,0.0
512,80.0,0.0
513,4.69,0.0
513,7.0,0.0
513,1.0,0.0
513,64.0,0.0
514,36.61,0.0
514,30.49,0.0
517,10.0,0.0
517,59.9,0.0
518,4.45,0.0
518,9.99,0.0
519,0.89,0.0
521,69.99,0.0
522,39.05,0.0
523,15.19,0.0
523,42.64,0.0
524,37.89,0.0
524,52.05,0.0
525,59.9,0.0
525,79.54,0.0
528,3.71,0.0
528,25.41,0.0
529,1.5,0.0
530,1.98,0.0
530,9.72,0.0
530,1.0,0.0
530,12.0,0.0
532,75.17,0.0
532,17.99,0.0
533,291.36,0.0
534,25.0,0.0
535,8.5,0.0
535,30.41,0.0
536,15.0,0.0
536,0.89,0.0
536,102.0,0.0
537,27.34,0.0
538,158.0,0.0
539,35.64,0.0
539,1.29,0.0
539,1.0,0.0
541,67.1,0.0
543,2.98,0.0
544,11.46,0.0
545,3.98,0.0
547,6.85,0.0
547,1.48,0.0
548,24.99,0.0
548,41.96,0.0
549,30.0,0.0
549,530.85,0.0
550,74.22,0.0
550,16.83,0.0
550,2.99,0.0
550,2.67,0.0
550,317.25,0.0
551,23.97,0.0
551,8.84,0.0
552,5.95,0.0
553,986.31,0.0
553,10.08,0.0
554,35.95,0.0
555,11.22,0.0
556,206.77,0.0
557,1.0,0.0
557,11.45,0.0
557,3.95,0.0
558,17.68,0.0
559,22.24,0.0
559,9.23,0.0
559,242.15,0.0
559,50.2,0.0
559,8.99,0.0
560,9.99,0.0
561,149.9,0.0
561,0.89,0.0
562,10.99,0.0
564,48.0,0.0
564,9.99,0.0
564,12.9,0.0
566,18.56,0.0
569,15.25,0.0
571,9.99,0.0
571,2.89,0.0
572,8.98,0.0
572,158.0,0.0
574,12.0,0.0
574,131.37,0.0
574,0.76,0.0
574,1.29,0.0
575,26.72,0.0
579,80.0,0.0
579,5.98,0.0
580,12.36,0.0
581,13.79,0.0
581,145.56,0.0
582,18.0,0.0
583,10.77,0.0
586,4.49,0.0
586,29.56,0.0
588,0.01,0.0
588,275.89,0.0
589,1.0,0.0
589,15.0,0.0
590,50.0,0.0
592,470.88,0.0
593,2.69,0.0
597,11.46,0.0
598,605.5,0.0
599,0.99,0.0
599,55.61,0.0
600,0.89,0.0
600,11.98,0.0
600,2.72,0.0
602,120.02,0.0
604,10.8,0.0
604,79.95,0.0
604,1.79,0.0
604,26.57,0.0
605,10.0,0.0
605,134.7,0.0
605,17.5,0.0
607,69.99,0.0
608,15.0,0.0
608,11.97,0.0
609,69.99,0.0
610,47.85,0.0
610,59.9,0.0
610,174.88,0.0
611,19.98,0.0
611,99.0,0.0
611,8.38,0.0
614,2.68,0.0
614,21.5,0.0
617,12.99,0.0
619,24.9,0.0
619,25.99,0.0
623,105.16,0.0
623,1.98,0.0
623,1.0,0.0
624,1.78,0.0
624,9.99,0.0
626,10.99,0.0
626,30.5,0.0
628,56.0,0.0
629,4.0,0.0
630,223.25,0.0
630,1.98,0.0
630,79.0,0.0
631,57.64,0.0
631,16.98,0.0
631,1.0,0.0
633,24.99,0.0
633,29.35,0.0
634,68.7,0.0
634,29.9,0.0
636,32.51,0.0
636,29.48,0.0
636,2.5,0.0
636,37.99,0.0
637,4.88,0.0
638,5.26,0.0
638,25.98,0.0
639,54.8,0.0
640,125.86,0.0
642,75.93,0.0
643,589.21,0.0
643,13.99,0.0
646,1.79,0.0
646,114.34,0.0
646,204.0,0.0
646,1.18,0.0
647,23.43,0.0
647,8.99,0.0
647,18.56,0.0
648,28.14,0.0
648,0.77,0.0
649,4.52,0.0
649,12.0,0.0
650,4.95,0.0
651,1.0,0.0
651,4.2,0.0
651,4.99,0.0
654,9.9,0.0
654,0.05,0.0
654,15.79,0.0
654,1.0,0.0
655,24.9,0.0
656,1602.99,0.0
656,8.99,0.0
656,7.04,0.0
656,158.0,0.0
657,1.0,0.0
658,1.78,0.0
659,8.9,0.0
659,117.28,0.0
660,15.0,0.0
661,99.0,0.0
663,19.54,0.0
664,60.0,0.0
665,73.0,0.0
666,0.05,0.0
666,13.99,0.0
666,64.63,0.0
666,47.76,0.0
666,3.58,0.0
667,24.9,0.0
668,3.1,0.0
668,1.98,0.0
670,57.7,0.0
670,17.68,0.0
671,42.56,0.0
672,7.95,0.0
672,0.89,0.0
672,94.86,0.0
672,0.05,0.0
674,22.0,0.0
674,0.92,0.0
674,24.9,0.0
676,39.05,0.0
677,32.14,0.0
677,16.31,0.0
677,0.89,0.0
678,15.8,0.0
679,0.05,0.0
679,25.39,0.0
680,24.9,0.0
680,89.95,0.0
681,9.99,0.0
683,287.57,0.0
684,9.99,0.0
685,1.0,0.0
685,217.0,0.0
685,8.91,0.0
687,53.54,0.0
688,64.99,0.0
691,0.05,0.0
692,60.0,0.0
692,10.99,0.0
692,1.98,0.0
693,24.9,0.0
693,0.85,0.0
694,64.0,0.0
694,18.0,0.0
694,17.24,0.0
696,22.61,0.0
696,18.56,0.0
699,23.43,0.0
699,15.38,0.0
701,171.32,0.0
702,143.9,0.0
704,24.38,0.0
704,1.29,0.0
705,4.99,0.0
705,6.55,0.0
705,1.0,0.0
707,25.0,0.0
708,9.87,0.0
710,25.0,0.0
711,0.0,0.0
711,12.15,0.0
711,0.77,0.0
713,13.98,0.0
713,33.99,0.0
714,24.95,0.0
714,0.89,0.0
715,69.97,0.0
716,8.99,0.0
717,5.0,0.0
718,9.99,0.0
718,9.48,0.0
718,467.74,0.0
719,8.96,0.0
719,51.45,0.0
720,5.0,0.0
721,1.46,0.0
721,5.0,0.0
722,767.7,0.0
722,87.47,0.0
723,131.95,0.0
723,179.84,0.0
725,0.76,0.0
726,9.44,0.0
726,8.99,0.0
728,4.49,0.0
729,13.94,0.0
729,1.98,0.0
730,500.0,0.0
730,5.45,0.0
731,9.95,0.0
734,0.89,0.0
734,0.89,0.0
734,94.65,0.0
735,10.38,0.0
735,15.15,0.0
736,25.3,0.0
737,1.98,0.0
737,25.85,0.0
738,220.28,0.0
739,9.99,0.0
741,294.95,0.0
741,29.99,0.0
741,8.12,0.0
742,25.95,0.0
742,11.98,0.0
742,16.5,0.0
742,11.5,0.0
743,153.0,0.0
744,138.0,0.0
744,0.1,0.0
745,1.29,0.0
746,47.9,0.0
747,16.18,0.0
748,82.39,0.0
749,354.85,0.0
750,15.37,0.0
750,5.91,0.0
751,14.05,0.0
751,3.9,0.0
752,1.78,0.0
753,30.0,0.0
755,82.37,0.0
755,8.0,0.0
756,2.69,0.0
756,2.5,0.0
756,7.28,0.0
758,0.99,0.0
758,2.49,0.0
758,1.0,0.0
758,291.38,0.0
759,15.0,0.0
760,82.39,0.0
761,792.2,0.0
762,29.99,0.0
763,15.0,0.0
763,29.95,0.0
764,1.98,0.0
765,16.45,0.0
766,9.99,0.0
766,62.85,0.0
769,1.0,0.0
769,0.89,0.0
769,0.76,0.0
770,39.09,0.0
770,112.38,0.0
770,1.98,0.0
772,1.78,0.0
773,41.4,0.0
774,8.94,0.0
774,78.44,0.0
775,1528.9,0.0
776,17.87,0.0
776,88.88,0.0
776,29.0,0.0
777,237.98,0.0
778,9.73,0.0
780,8.0,0.0
783,1.0,0.0
784,14.2,0.0
784,5.07,0.0
784,37.5,0.0
784,203.83,0.0
788,5.42,0.0
788,9.95,0.0
789,7.69,0.0
789,11.38,0.0
790,1.29,0.0
790,197.16,0.0
791,52.93,0.0
791,44.91,0.0
792,3.37,0.0
792,25.54,0.0
793,7.82,0.0
793,9.31,0.0
795,0.89,0.0
798,34.6,0.0
798,7.99,0.0
800,1.98,0.0
802,11.99,0.0
803,34.9,0.0
804,34.95,0.0
804,1.0,0.0
804,0.0,0.0
805,13.0,0.0
805,8.9,0.0
805,1.0,0.0
807,74.64,0.0
808,352.89,0.0
809,45.9,0.0
810,6.0,0.0
811,5.35,0.0
813,9.99,0.0
815,74.22,0.0
816,5.8,0.0
817,8.04,0.0
820,0.0,0.0
821,309.0,0.0
821,82.5,0.0
822,156.04,0.0
823,128.68,0.0
823,17.5,0.0
823,9.0,0.0
824,144.0,0.0
828,11.5,0.0
830,186.14,0.0
832,11.45,0.0
833,8.0,0.0
833,55.0,0.0
834,59.0,0.0
835,0.89,0.0
836,56.86,0.0
836,10.0,0.0
839,293.34,0.0
840,8.99,0.0
841,6.1,0.0
841,6.99,0.0
843,14.99,0.0
843,0.46,0.0
844,1.0,0.0
845,201.1,0.0
846,1.49,0.0
850,8.97,0.0
852,1.0,0.0
854,2.34,0.0
854,21.03,0.0
855,196.46,0.0
856,23.9,0.0
857,2.49,0.0
858,1.79,0.0
860,13.27,0.0
861,10.0,0.0
861,418.48,0.0
861,15.0,0.0
862,1.0,0.0
862,1.98,0.0
863,148.59,0.0
863,128.0,0.0
864,188.0,0.0
866,102.9,0.0
868,17.28,0.0
868,7.8,0.0
869,1.0,0.0
871,28.9,0.0
871,15.3,0.0
871,8.99,0.0
871,15.17,0.0
871,6.56,0.0
872,158.0,0.0
873,7.19,0.0
873,1.0,0.0
874,7.69,0.0
875,13.31,0.0
875,20.53,0.0
875,8.9,0.0
878,18.8,0.0
878,69.7,0.0
879,19.51,0.0
881,93.82,0.0
881,107.9,0.0
881,7.65,0.0
881,139.95,0.0
884,1.29,0.0
887,158.0,0.0
890,21.98,0.0
890,6.95,0.0
890,135.98,0.0
891,4.04,0.0
892,13.27,0.0
892,14.81,0.0
893,158.0,0.0
894,1.0,0.0
896,38.0,0.0
896,2.72,0.0
897,158.0,0.0
897,42.35,0.0
898,1.0,0.0
899,57.0,0.0
899,268.13,0.0
900,89.9,0.0
900,1.0,0.0
904,75.13,0.0
905,0.89,0.0
907,22.79,0.0
907,2.69,0.0
908,136.3,0.0
908,16.99,0.0
908,6.74,0.0
909,89.46,0.0
909,51.67,0.0
909,5.47,0.0
911,0.77,0.0
911,2.0,0.0
912,24.08,0.0
912,0.0,0.0
912,2.28,0.0
914,11.03,0.0
915,8.99,0.0
916,4.97,0.0
917,104.0,0.0
917,158.0,0.0
919,158.0,0.0
919,158.0,0.0
919,1.0,0.0
919,1.0,0.0
919,4.91,0.0
921,158.0,0.0
921,44.99,0.0
922,474.59,0.0
922,1.0,0.0
923,0.77,0.0
923,69.81,0.0
924,63.7,0.0
924,158.0,0.0
924,7.74,0.0
925,158.0,0.0
925,8.99,0.0
926,64.99,0.0
926,1.0,0.0
927,150.0,0.0
928,158.0,0.0
929,53.75,0.0
929,1.0,0.0
929,6.99,0.0
930,22.17,0.0
931,29.9,0.0
932,50.0,0.0
933,2.27,0.0
933,500.0,0.0
935,4.77,0.0
936,158.0,0.0
936,5.99,0.0
936,189.0,0.0
937,158.0,0.0
938,13.99,0.0
938,1.0,0.0
938,19.99,0.0
939,0.89,0.0
939,64.5,0.0
939,7.81,0.0
940,7.59,0.0
940,1.98,0.0
940,135.0,0.0
942,3.16,0.0
942,32.52,0.0
943,213.1,0.0
943,10.59,0.0
943,48.94,0.0
945,101.26,0.0
945,158.0,0.0
946,192.17,0.0
946,1.0,0.0
947,28.9,0.0
947,86.97,0.0
947,0.89,0.0
949,82.62,0.0
950,0.79,0.0
951,5.0,0.0
952,21.66,0.0
952,113.59,0.0
954,0.99,0.0
955,90.5,0.0
955,17.92,0.0
956,136.3,0.0
956,343.0,0.0
957,84.95,0.0
957,19.72,0.0
957,0.95,0.0
958,25.28,0.0
961,281.42,0.0
963,4.49,0.0
963,5.99,0.0
963,240.9,0.0
965,7.62,0.0
966,0.99,0.0
966,1.98,0.0
966,158.0,0.0
967,7.65,0.0
971,12.14,0.0
971,9.48,0.0
972,158.0,0.0
972,10.86,0.0
973,31.0,0.0
973,46.39,0.0
973,1.0,0.0
973,64.93,0.0
973,12.99,0.0
974,10.62,0.0
974,8.49,0.0
974,40.2,0.0
977,99.99,0.0
977,55.97,0.0
978,226.53,0.0
978,0.77,0.0
978,14.0,0.0
978,1.78,0.0
979,15.13,0.0
980,3.56,0.0
982,38.44,0.0
983,49.0,0.0
984,1.68,0.0
986,1.94,0.0
986,14.99,0.0
986,2.78,0.0
989,17.49,0.0
990,1736.0,0.0
990,11.84,0.0
991,53.39,0.0
993,1.98,0.0
994,11.43,0.0
994,12.86,0.0
997,10.81,0.0
999,1.0,0.0
999,1.79,0.0
1000,20.43,0.0
1000,26.0,0.0
1001,4.95,0.0
1001,12.94,0.0
1004,10.0,0.0
1005,11.0,0.0
1009,9.99,0.0
1015,1.45,0.0
1016,306.95,0.0
1018,32.97,0.0
1020,431.0,0.0
1021,195.0,0.0
1022,84.4,0.0
1022,158.0,0.0
1022,9.51,0.0
1023,1.98,0.0
1025,8.0,0.0
1026,10.82,0.0
1026,158.0,0.0
1027,1.0,0.0
1028,1.0,0.0
1029,49.5,0.0
1029,2.58,0.0
1029,0.92,0.0
1030,17.49,0.0
1030,1.78,0.0
1030,42.99,0.0
1034,2.58,0.0
1034,19.99,0.0
1034,233.15,0.0
1035,155.75,0.0
1036,76.13,0.0
1036,5.0,0.0
1036,9.95,0.0
1038,158.0,0.0
1038,158.0,0.0
1039,1.0,0.0
1040,149.98,0.0
1040,160.0,0.0
1040,25.0,0.0
1041,173.0,0.0
1041,0.76,0.0
1041,5.28,0.0
1041,274.72,0.0
1042,1.0,0.0
1043,158.0,0.0
1045,158.0,0.0
1045,158.0,0.0
1045,4.68,0.0
1046,1.0,0.0
1046,91.18,0.0
1046,2.69,0.0
1046,4.49,0.0
1047,4.99,0.0
1048,9.5,0.0
1049,5.47,0.0
1050,198.83,0.0
1051,0.12,0.0
1051,44.48,0.0
1051,36.26,0.0
1051,41.89,0.0
1052,8.99,0.0
1052,0.9,0.0
1053,21.48,0.0
1053,2.33,0.0
1054,1.0,0.0
1054,30.33,0.0
1055,10.62,0.0
1055,9.12,0.0
1055,196.33,0.0
1056,2.28,0.0
1057,32.14,0.0
1057,12.99,0.0
1058,6.25,0.0
1059,68.0,0.0
1059,48.43,0.0
1060,158.0,0.0
1061,21.87,0.0
1062,8.99,0.0
1064,16.9,0.0
1065,0.99,0.0
1065,500.0,0.0
1066,3.5,0.0
1066,20.0,0.0
1069,224.99,0.0
1069,50.0,0.0
1071,0.89,0.0
1072,12.48,0.0
1072,158.0,0.0
1072,10.95,0.0
1073,202.37,0.0
1074,158.0,0.0
1074,158.0,0.0
1074,1.0,0.0
1074,1.0,0.0
1074,8.97,0.0
1075,384.11,0.0
